id,name,country,type
1,Florian_Mueller,Deutschland,1
33,Fabian_Brendlow,Deutschland,1
42,Florian_Schock,Deutschland,1
5,Konstantinos_Mavropanos,Griechenland,1
2,Waldemar_Anton,Deutschland,1
37,Hiroki_Ito,Japan,1
24,Borna_Sosa,Kroatien,1
15,Pascal_Stenzel,Deutschland,1
23,Orel_Mangala,Belgien,1
3,Wataru_Endo,Japan,1
16,Atakan_Karazor,Deutschland,1
32,Naouirou_Ahamada,Frankreich,1
6,Clinton_Mola,England,1
8,Enzo_Millot,Frankreich,1
28,Nikolas_Nartey,Daenemark,1
14,Silas_Mvumpa,Kongo,1
30,Roberto_Massimo,Deutschland,1
11,Erik_Thommy,Deutschland,1
20,Philipp_Foerster,Deutschland,1
31,Mateo_Klimowicz,Deutschland,1
25,Lilian_Egloff,Deutschland,1
34,Oemer_Beyaz,Tuerkei,1
10,Daniel_Didavi,Deutschland,1
7,Tanguy_Coulibaly,Frankreich,1
22,Chris_Fuehrich,Deutschland,1
9,Sasa_Kalajdzic,Oesterreich,1
18,Tiago_Tomas,Portugal,1
17,Omar_Marmoush,Aegypten,1
19,Wahid_Faghir,Daenemark,1
50,Alexis_Tibidi,Frankreich,1
44,Mohamed_Sankoh,Niederlande,1
